,ID,comments,cleaned_comments
2926,3qX1ZU3jcfU,So cool tho,cool tho
2927,3qX1ZU3jcfU,The creators of the movie are satomi ishihara and hiroki hasegawa and yutaka takenouchi and mikako ichikawa and jun kunimura and ren osugi and akira emoto and kengo kora and kimiko yo and pierre taki and shingo tsurumi and kyusaku shimada...,creator movi satomi ishihara hiroki hasegawa yutaka takenouchi mikako ichikawa jun kunimura ren osugi akira emoto kengo kora kimiko yo pierr taki shingo tsurumi kyusaku shimada
2928,3qX1ZU3jcfU,The creators of the movie are satomi ishihara and hiroki hasegawa and yutaka takenouchi and mikako ichikawa and jun kunimura and ren osugi and akira emoto and kengo kora and kimiko yo and pierre taki and shingo tsurumi and kyusaku shimada...,creator movi satomi ishihara hiroki hasegawa yutaka takenouchi mikako ichikawa jun kunimura ren osugi akira emoto kengo kora kimiko yo pierr taki shingo tsurumi kyusaku shimada
2929,3qX1ZU3jcfU,The BEST i watch the full movie tho and it was AMAZING!!!,best watch full movi tho amaz
2930,3qX1ZU3jcfU,Shin godzilla&#39;s forth form is 118.5m. or 389ft. Tall,shin godzilla forth form ft tall
2931,3qX1ZU3jcfU,Politics films,polit film
2932,3qX1ZU3jcfU,steven universe movie,steven univers movi
2933,3qX1ZU3jcfU,Sound from  War of the Gagantuas?,sound war gagantua
2934,3qX1ZU3jcfU,I saw this movie in MsPiracy,saw movi mspiraci
2935,3qX1ZU3jcfU,Classic soundtrack of Godzilla,classic soundtrack godzilla
2936,3qX1ZU3jcfU,2020. Coming Soon,come soon
2937,3qX1ZU3jcfU,ShinLUCIANO,shinluciano
2938,3qX1ZU3jcfU,Whats the trailer&#39;s theme? Its amazing,what trailer theme amaz
2939,3qX1ZU3jcfU,"This is my favourite trailer ever. The music combined with that last far away shot of godzilla, and the roar.",favourit trailer ever music combin last far away shot godzilla roar
2940,3qX1ZU3jcfU,"I beg you, tell these people to make Shin Godzilla 2",beg tell peopl make shin godzilla
2941,3qX1ZU3jcfU,I thought this is a shinchan movie,thought shinchan movi
2942,3qX1ZU3jcfU,There is no voice in the trailer because we dont understand japenese,voic trailer dont understand japenes
2943,3qX1ZU3jcfU,just seen it online just now its good i dont understand why people bitch and cry about it but hay thats all the selffish me me left give me right now brain dead thug gens do i geuss....,seen onlin good dont understand peopl bitch cri hay that selffish left give right brain dead thug gen geuss
2944,3qX1ZU3jcfU,Was this the movie I saw that generated the joke of REUNION in our festival?,movi saw gener joke reunion festiv
2945,3qX1ZU3jcfU,One of the worst and most boring Godzilla film ever.,one worst bore godzilla film ever
2946,3qX1ZU3jcfU,"This &quot;movie&quot; was ass, 95% of it takes place in meeting rooms",quot movi quot ass take place meet room
2947,3qX1ZU3jcfU,Just give me my god damn evengelion 3.0+1.0 already,give god damn evengelion alreadi
2948,3qX1ZU3jcfU,Can&#39;t wait for the sequal to hit cinemas. Went and saw this with my friends and it was so damn good.,wait sequal hit cinema went saw friend damn good
2949,3qX1ZU3jcfU,How a Godzilla movie is supposed to be done.,godzilla movi suppos done
2950,3qX1ZU3jcfU,I think it&#39;s about time they take back a staple to their culture and do it right,think time take back stapl cultur right
2951,3qX1ZU3jcfU,About fucking time.,fuck time
2952,3qX1ZU3jcfU,90% drama talk 5% action sequences 5% cgi,drama talk action sequenc cgi
2953,3qX1ZU3jcfU,easy now 7th person to comment.<br>and can&#39;t wait to watch this,easi th person comment wait watch
2954,3qX1ZU3jcfU,Wow how long since I last saw Godzilla,wow long sinc last saw godzilla
